id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
FGF1	FGF1	4.85873E+00	2.22E-15	Growth factor	BrainSpLMD|2246;Eurexp|euxassay_007182|bladder, incisor, limb, lung, mesenchyme, metanephros, midgut, stomach, tail, vertebral axis muscle system, vibrissa;BrainSpMouseDev|13941	OMIM|131220
AQP4	AQP4	4.66422E+00	0	Water channel	BrainSpLMD|361;Eurexp|euxassay_004747|hindbrain, lung, metanephros, midbrain, olfactory, pancreas, spinal cord, stomach, trigeminal V, ventral grey horn, ventricular layer;BrainSpMouseDev|11616	OMIM|600308
SPARCL1	SPARCL1	4.52330E+00	0	Secreted polypeptide	BrainSpLMD|8404	SFARI||Autism, 3 - Suggestive evidence;OMIM|606041
RP11.71N10.1	RP11.71N10.1	4.38866E+00	0			
AGT	AGT	4.36520E+00	0	Peptide hormone	BrainSpLMD|183;Eurexp|euxassay_011357|axial skeleton, liver;BrainSpMouseDev|11393	OMIM|106150;HPO|183|Anuria, Autosomal recessive inheritance, Hypotension, Microcephaly, Oligohydramnios, Potter facies, Pulmonary hypoplasia, Renotubular dysgenesis, Respiratory insufficiency, Widely patent fontanelles and sutures
GPR37L1	GPR37L1	4.16284E+00	0	G protein coupled receptor	BrainSpLMD|9283;BrainSpMouseDev|82624	OMIM|617630
LGR6	LGR6	4.13051E+00	0	G protein coupled receptor	BrainSpLMD|59352	OMIM|606653
KCNJ16	KCNJ16	4.06324E+00	0	Inward rectifier channel	BrainSpLMD|3773;Eurexp|euxassay_000169|floor plate, floorplate, glomeruli, nephrons	OMIM|605722
MT3	MT3	4.02410E+00	0	Unclassified	BrainSpLMD|4504;Eurexp|euxassay_012667|dorsal root ganglion, glossopharyngeal IX, trigeminal V, ventral grey horn, ventricular layer	OMIM|139255
NPNT	NPNT	4.02148E+00	0	Unclassified	BrainSpLMD|255743;Eurexp|euxassay_007623|choroid plexus, clavicle, diaphragm, incisor, mandible, mantle layer, maxilla, mesenchyme, metanephros, midgut, nasal septum, olfactory, orbito-sphenoid, penis, pericardial cavity, pleural cavity, skeletal muscle, stomach, vault of skull, ventral grey horn, vertebral axis muscle system, vibrissa	OMIM|610306
ALDH1L1	ALDH1L1	3.97772E+00	6.66E-16	Enzyme: Dehydrogenase	BrainSpLMD|10840;Eurexp|euxassay_009095|adrenal gland, mantle layer, testis, ventral grey horn, ventricular layer	OMIM|600249
AC007682.1	AC007682.1	3.97396E+00	0			
CSPG5	CSPG5	3.86629E+00	0	Integral membrane protein	BrainSpLMD|10675	OMIM|606775
DIO2	DIO2	3.76583E+00	0	Enzyme: Oxidoreductase	BrainSpLMD|1734	OMIM|601413
GRAMD3	GRAMD3	3.69271E+00	1.55E-15			
CXCL14	CXCL14	3.63388E+00	0	Chemokine	BrainSpLMD|9547	OMIM|604186
CD9	CD9	3.60477E+00	0	Unclassified	BrainSpLMD|928;Eurexp|euxassay_001933|axial skeleton, bladder, calyces, cervical, cervico-thoracic, foregut-midgut junction, hindgut, lung, midgut, nucleus pulposus, oesophagus, olfactory, oral epithelium, pelvis, pharyngo-tympanic tube, rectum, stomach, submandibular gland primordium, thoracic, thymus primordium, urethra, ventral grey horn, ventricular layer, vibrissa;BrainSpMouseDev|12312	OMIM|143030
ALDOC	ALDOC	3.58522E+00	0	Enzyme: Lyase	BrainSpLMD|230;Eurexp|euxassay_011944|olfactory, ventricular layer	OMIM|103870
CST3	CST3	3.27243E+00	0	Protease inhibitor	BrainSpLMD|1471;Eurexp|euxassay_004853|mantle layer, ventral grey horn, ventricular layer;BrainSpMouseDev|12793	OMIM|604312;HPO|1471|Autosomal dominant inheritance, Cerebral amyloid angiopathy, Cerebral hemorrhage, Dementia, Generalized amyloid deposition, Intracranial hemorrhage, Stroke
HAPLN1	HAPLN1	3.26949E+00	1.44E-11	Extracellular matrix protein	BrainSpLMD|1404	OMIM|115435
LINC00943	LINC00943	3.26407E+00	9.51E-09			
GFAP	GFAP	3.25597E+00	0	Structural protein	BrainSpLMD|2670;BrainSpMouseDev|14356	OMIM|137780;HPO|2670|Ataxia, Autosomal dominant inheritance, Bulbar signs, Developmental regression, Diffuse demyelination of the cerebral white matter, Hydrocephalus, Increased CSF protein, Infantile onset, Progressive macrocephaly, Seizures, Spasticity
OLIG1	OLIG1	3.25498E+00	0	Transcription factor	BrainSpLMD|116448;Eurexp|euxassay_007237|mantle layer, marginal layer, olfactory, ventricular layer;BrainSpMouseDev|30398	OMIM|606385
