p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,gene_converted
6.83519481349961e-191,1.02281846398469,0.696,0.018,3.88676517874842e-186,Astrocyte,GPR37L1,GPR37L1
8.73920958102271e-101,1.059751313254,0.783,0.052,4.96946413615275e-96,Astrocyte,MT3,MT3
1.38910305820215e-76,2.92917673391049,0.543,0.032,7.89899563016068e-72,Astrocyte,AQP4,AQP4
1.69050299738209e-71,1.49478601721099,0.652,0.05,9.61287624431352e-67,Astrocyte,CD9,CD9
3.77275963811621e-69,1.11165698645999,0.283,0.008,2.1453420406184e-64,Astrocyte,FGF1,FGF1
1.78402075593557e-68,3.13258672947774,0.696,0.064,1.0144655626552e-63,Astrocyte,SPARCL1,SPARCL1
4.18893322001717e-64,1.22929667602953,0.587,0.044,2.38199498623056e-59,Astrocyte,EDNRB,EDNRB
6.40472537585462e-61,1.39157395370323,0.413,0.023,3.64198303772597e-56,Astrocyte,NPNT,NPNT
5.12279248741288e-60,1.5785275553627,0.891,0.124,2.91302472004246e-55,Astrocyte,BCAN,BCAN
2.95678830950679e-58,2.81525879674471,0.739,0.081,1.68134810431794e-53,Astrocyte,DIO2,DIO2
2.28696898036148e-56,1.01672401682822,0.522,0.04,1.30046204099275e-51,Astrocyte,SPON1,SPON1
4.07096665608016e-51,1.57291826945576,0.848,0.126,2.31491447931342e-46,Astrocyte,RAB31,RAB31
2.44100991178469e-50,1.6111273032765,0.739,0.094,1.38805587623724e-45,Astrocyte,HOPX,HOPX
2.88714847082382e-46,1.91566934044422,0.674,0.085,1.64174810644926e-41,Astrocyte,LUZP2,LUZP2
3.42876478226162e-46,1.451219668581,0.587,0.062,1.94973280578525e-41,Astrocyte,GFAP,GFAP
6.68787092159995e-46,1.7781624992472,0.717,0.096,3.8029909208586e-41,Astrocyte,EGFR,EGFR
4.53640125539512e-43,1.1638199219701,0.63,0.076,2.57957920986788e-38,Astrocyte,WSCD1,WSCD1
1.41745388712617e-42,1.43099763984864,0.348,0.023,8.06020978375424e-38,Astrocyte,GRAMD3,GRAMD3
