GeneId,AstroDay7,LA_D7_NPC,log2FoldChange,lfcSE,stat,pvalue,padj
ZC3H11A,5.437711113,5267.124529,9.061729465,0.411093091,15.29487975,8.27E-53,1.01E-48
HIST1H1B,15005.53618,9.164922428,-9.775267078,0.310409934,-13.22764668,6.08E-40,3.71E-36
MATR3,400.5655219,12860.76425,4.751884355,0.238777803,13.13670533,2.03E-39,8.25E-36
HIST1H2BC,11541.10344,13.04380555,-8.900677452,0.289215792,-11.93158388,8.10E-33,2.47E-29
SRCAP,83.25747738,2988.833433,5.301595218,0.265486589,11.81563702,3.24E-32,7.91E-29
HIST1H2BD,15753.10375,239.5154202,-5.586241698,0.246940335,-11.71106358,1.12E-31,2.27E-28
HIST1H1C,8867.76048,74.89539639,-6.216754309,0.252914684,-10.87068209,1.59E-27,2.77E-24
HIST2H2AC,8742.180141,4.99156649,-9.578784391,0.35210702,-10.72896409,7.44E-27,1.13E-23
HIST1H2BK,8351.254067,204.0269857,-5.27083933,0.2481892,-10.52385923,6.71E-26,9.09E-23
SGSM3,37.35309532,2413.456657,5.868714432,0.285275202,10.35609866,3.93E-25,4.79E-22
HIST1H2AI,4621.052332,5.794353124,-8.548883745,0.338984478,-9.722494286,2.42E-22,2.68E-19
AMT,14.18339036,1147.642553,5.983649281,0.331407853,8.816140096,1.18E-18,1.20E-15
SCARNA7,2929.34222,7.825819043,-7.815677388,0.310833445,-8.77848132,1.66E-18,1.56E-15
ATN1,965.3933658,8286.863799,3.38302311,0.246206252,8.485334001,2.15E-17,1.75E-14
HNRNPA2B1,5299.867232,23840.02881,2.336754409,0.215398734,8.486475234,2.13E-17,1.75E-14
GATD3A,24.16013075,979.4674611,5.024392205,0.303456156,8.426386851,3.57E-17,2.56E-14
NEFM,19.64771199,391.6653638,4.389420474,0.315413107,8.427178237,3.54E-17,2.56E-14
ADSL,103.5669104,1266.890771,3.473287187,0.259478294,8.324794686,8.45E-17,5.73E-14
TOP3B,50.17020927,1634.813712,4.792309301,0.274906572,8.275717278,1.28E-16,8.20E-14
CCNK,219.880363,1553.905401,3.210461995,0.251985957,8.260403568,1.45E-16,8.86E-14
MTMR3,166.4541328,2488.726512,3.853101954,0.255033894,8.170522394,3.07E-16,1.78E-13
HIST1H3J,2414.434789,1.181630842,-9.384949934,0.491492277,-7.982376397,1.44E-15,7.96E-13
ZBTB9,0,614.0087379,7.703146369,0.610880415,7.897207323,2.85E-15,1.51E-12
ARPC1A,246.2172355,2754.5227,3.137900117,0.246996759,7.589281764,3.22E-14,1.64E-11
NCL,3510.710514,10855.52093,1.866301677,0.206182358,7.506195162,6.09E-14,2.97E-11
TDGF1,97.742962,0,-6.692484717,0.596445146,-7.470020867,8.02E-14,3.76E-11
POLR2F,13.65561075,641.7322294,5.053955144,0.335491361,7.322013919,2.44E-13,1.10E-10
CBS,244.9595639,1851.813427,2.765513435,0.246418589,7.192212495,6.37E-13,2.78E-10
POLR2A,2783.359507,7688.447342,1.945905559,0.220768371,7.133438001,9.79E-13,4.12E-10
EIF5B,475.2582883,2115.227056,2.360741758,0.238300379,7.097982413,1.27E-12,4.83E-10
HNRNPA3,2659.232499,10346.8588,1.97098339,0.213940049,7.101918133,1.23E-12,4.83E-10
HIST1H2AG,10894.03626,39.1202644,-7.619357571,0.23612032,-7.104002045,1.21E-12,4.83E-10
SIK1,0.99042579,365.5428778,6.789297411,0.548748295,7.018225076,2.25E-12,8.31E-10
TCF7L1,324.226075,1985.417741,2.649201834,0.246506205,6.919257345,4.54E-12,1.63E-09
ARHGEF10,186.38164,2132.605876,3.234663505,0.253960526,6.834924275,8.20E-12,2.86E-09
VCAN,5415.231742,887.6249282,-2.609406391,0.23923062,-6.827128636,8.66E-12,2.94E-09
ASNS,22.22083968,402.0062938,3.812308996,0.30873148,6.707326374,1.98E-11,6.54E-09
ATXN2L,1557.050614,5268.168732,1.993446604,0.226103593,6.633724233,3.27E-11,1.05E-08
CYB5D1,0.462646176,389.0583917,6.911914787,0.582427244,6.562626634,5.29E-11,1.65E-08
PMEL,2851.960947,10104.66609,2.117272931,0.229282655,6.558576877,5.43E-11,1.66E-08
PWP2,82.95830173,672.9817461,3.088002465,0.265314055,6.52925946,6.61E-11,1.97E-08
HIST2H2BE,7935.697251,445.4941024,-3.341496468,0.245055679,-6.516978695,7.17E-11,2.08E-08
PARL,45.8116303,688.4031817,3.694950362,0.278284231,6.489664226,8.60E-11,2.40E-08
HIST1H2AC,5046.558445,283.4028993,-3.662719946,0.24690007,-6.485483537,8.84E-11,2.40E-08
MRPL30,971.9189368,0.636888751,-8.885687281,0.549355148,-6.487247707,8.74E-11,2.40E-08
HNRNPH3,1272.211308,6536.302495,2.108621955,0.225225383,6.447991466,1.13E-10,3.01E-08
NICN1,0,380.4678105,7.391590296,0.636283342,6.440769431,1.19E-10,3.09E-08
POU5F1,700.039204,75.12698276,-3.266398862,0.257026021,-6.43085106,1.27E-10,3.23E-08
ASMTL,0,300.1290974,7.112503998,0.63264258,6.418683044,1.37E-10,3.42E-08
HNRNPA1,11186.28025,45567.20306,1.852472574,0.213822834,6.410350941,1.45E-10,3.47E-08
