Started job on,Started mapping on,Finished on,"Mapping speed, Million of reads per hour",Number of input reads,Average input read length,Uniquely mapped reads number,Uniquely mapped reads %,Average mapped length,Number of splices: Total,Number of splices: Annotated (sjdb),Number of splices: GT/AG,Number of splices: GC/AG,Number of splices: AT/AC,Number of splices: Non-canonical,"Mismatch rate per base, %",Deletion rate per base,Deletion average length,Insertion rate per base,Insertion average length,Number of reads mapped to multiple loci,% of reads mapped to multiple loci,Number of reads mapped to too many loci,% of reads mapped to too many loci,Number of reads unmapped: too many mismatches,% of reads unmapped: too many mismatches,Number of reads unmapped: too short,Number of reads unmapped: other,% of reads unmapped: other,CHIMERIC READS:,Number of chimeric reads,% of chimeric reads,sample
Aug 18 14:07:16,Aug 18 14:07:44,Aug 18 14:18:49,273.94,50603074,200,45286830,89.49%,202.54,34616950,34367401,34316956,245611,37752,16631,0.12%,0.01%,1.64,0.01%,1.42,3786362,7.48%,29952,0.06%,25439,0.05%,1447113,27378,0.05%,"",0,0.00%,NCRM5_astro_D0_1
Aug 18 14:14:40,Aug 18 14:15:06,Aug 18 14:25:44,309.91,54922550,201,49014035,89.24%,202.80,37807048,37542890,37475822,271566,41508,18152,0.12%,0.01%,1.64,0.01%,1.42,4148278,7.55%,31482,0.06%,26201,0.05%,1674403,28151,0.05%,"",0,0.00%,NCRM5_astro_D0_2
Aug 18 14:33:34,Aug 18 14:33:58,Aug 18 14:46:04,250.78,50573072,198,44728416,88.44%,200.11,34282909,34043772,33983663,245696,37716,15834,0.12%,0.01%,1.63,0.01%,1.41,4425109,8.75%,29008,0.06%,24972,0.05%,1338994,26573,0.05%,"",0,0.00%,NCRM5_astro_D0_3
Aug 18 15:01:35,Aug 18 15:02:13,Aug 18 15:18:29,244.91,66398268,196,59306752,89.32%,197.54,42554734,42297974,42177414,311956,43960,21404,0.12%,0.01%,1.61,0.01%,1.38,5199826,7.83%,26059,0.04%,30373,0.05%,1819662,15596,0.02%,"",0,0.00%,NCRM5_astro_D14_1
Aug 18 15:07:40,Aug 18 15:08:18,Aug 18 15:24:50,241.54,66558666,201,60290545,90.58%,202.69,44404818,44131004,44012681,323684,45674,22779,0.12%,0.01%,1.62,0.01%,1.40,4430813,6.66%,25875,0.04%,28863,0.04%,1767545,15025,0.02%,"",0,0.00%,NCRM5_astro_D14_2
Aug 18 14:36:11,Aug 18 14:36:46,Aug 18 14:47:34,278.06,50050435,196,44904398,89.72%,198.16,32016020,31824823,31731163,235306,33058,16493,0.12%,0.01%,1.62,0.01%,1.39,3795169,7.58%,20215,0.04%,23495,0.05%,1294491,12667,0.03%,"",0,0.00%,NCRM5_astro_D14_3
Aug 18 14:22:06,Aug 18 14:22:43,Aug 18 14:34:12,230.63,44140672,201,39656781,89.84%,202.71,28200384,28027147,27959289,200391,25473,15231,0.12%,0.01%,1.60,0.01%,1.43,3368888,7.63%,16057,0.04%,20014,0.05%,1067118,11814,0.03%,"",0,0.00%,NCRM5_astro_D21_1
Aug 18 14:24:26,Aug 18 14:25:03,Aug 18 14:36:30,238.68,45547601,199,41132621,90.31%,200.30,29614925,29441829,29358590,213382,26671,16282,0.12%,0.01%,1.60,0.01%,1.42,3299360,7.24%,15633,0.03%,19053,0.04%,1068682,12252,0.03%,"",0,0.00%,NCRM5_astro_D21_2
Aug 18 14:18:15,Aug 18 14:18:46,Aug 18 14:31:11,231.30,47866041,194,43230531,90.32%,195.82,30949478,30775201,30679122,227372,26800,16184,0.12%,0.01%,1.60,0.01%,1.40,3330823,6.96%,20998,0.04%,21673,0.05%,1248391,13625,0.03%,"",0,0.00%,NCRM5_astro_D21_3
Aug 18 13:54:04,Aug 18 13:54:34,Aug 18 14:02:42,241.54,32741602,201,29749183,90.86%,202.63,22044778,21942838,21872708,145112,16844,10114,0.12%,0.01%,1.61,0.01%,1.41,2146288,6.56%,11163,0.03%,13747,0.04%,814749,6472,0.02%,"",0,0.00%,NCRM5_astro_D30_1
Aug 18 13:49:03,Aug 18 13:49:34,Aug 18 13:57:08,235.79,29735673,199,26709426,89.82%,200.43,20225262,20129919,20066082,133796,15593,9791,0.12%,0.01%,1.63,0.01%,1.44,2246425,7.55%,12563,0.04%,14319,0.05%,747007,5933,0.02%,"",0,0.00%,NCRM5_astro_D30_2
Aug 18 14:43:10,Aug 18 14:43:41,Aug 18 14:59:19,237.92,61992403,200,55003814,88.73%,201.79,40821540,40625546,40502120,268506,31907,19007,0.12%,0.01%,1.63,0.01%,1.41,5279900,8.52%,26530,0.04%,29498,0.05%,1639942,12719,0.02%,"",0,0.00%,NCRM5_astro_D30_3
Aug 18 14:15:27,Aug 18 14:16:01,Aug 18 14:26:23,244.71,42280378,201,38229232,90.42%,202.84,28319208,28184962,28088078,190340,27959,12831,0.11%,0.01%,1.60,0.01%,1.42,2914429,6.89%,16282,0.04%,18754,0.04%,1094462,7219,0.02%,"",0,0.00%,NCRM5_astro_D50_1
Aug 18 15:09:40,Aug 18 15:10:11,Aug 18 15:28:34,255.59,78309984,198,71034536,90.71%,199.99,51134954,50891835,50718705,342758,50558,22933,0.12%,0.01%,1.58,0.01%,1.44,5201708,6.64%,27770,0.04%,36703,0.05%,1994884,14383,0.02%,"",0,0.00%,NCRM5_astro_D50_2
Aug 18 14:22:46,Aug 18 14:23:20,Aug 18 14:35:04,255.00,49867043,198,45276414,90.79%,199.47,32402826,32246187,32139696,216877,31642,14611,0.12%,0.01%,1.58,0.01%,1.47,3253350,6.52%,19018,0.04%,24143,0.05%,1284680,9438,0.02%,"",0,0.00%,NCRM5_astro_D50_3
Aug 18 16:27:49,Aug 18 16:28:16,Aug 18 16:51:03,284.67,108097205,202,96973312,89.71%,203.89,74689117,74229707,74063559,510779,78980,35799,0.12%,0.01%,1.63,0.01%,1.41,8165294,7.55%,36330,0.03%,51806,0.05%,2844865,25598,0.02%,"",0,0.00%,NCRM5_astro_D7_1
Aug 18 14:29:14,Aug 18 14:29:39,Aug 18 14:41:32,247.28,48974330,199,42845221,87.49%,201.20,32658980,32460210,32387035,222360,33795,15790,0.12%,0.01%,1.64,0.01%,1.41,4628936,9.45%,25545,0.05%,23690,0.05%,1437250,13688,0.03%,"",0,0.00%,NCRM5_astro_D7_2
Aug 18 14:11:58,Aug 18 14:12:27,Aug 18 14:22:17,242.05,39669608,200,35529504,89.56%,202.36,27284803,27118311,27058175,184942,28416,13270,0.12%,0.01%,1.62,0.01%,1.42,3053857,7.70%,19662,0.05%,19047,0.05%,1036932,10606,0.03%,"",0,0.00%,NCRM5_astro_D7_3
