p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,gene_converted
2.76699620152546e-100,1.40511055901856,0.78,0.102,1.57342472003544e-95,tRG,ITGA2,ITGA2
7.63615832210466e-98,1.57326493620116,0.91,0.148,4.34222506828159e-93,tRG,LTBP1,LTBP1
1.2679406953747e-94,1.09425720426218,0.76,0.102,7.21001797017867e-90,tRG,C8orf4,C8orf4
1.5468369141366e-91,1.43658711977374,0.93,0.175,8.79593342854635e-87,tRG,TFAP2C,TFAP2C
4.34356778812073e-89,1.38192080713865,0.74,0.105,2.46992638703697e-84,tRG,GPX3,GPX3
1.25986015889287e-88,1.15312935800787,0.81,0.127,7.1640688075284e-84,tRG,CYR61,CYR61
1.15412446781204e-86,1.65592753131245,0.94,0.195,6.5628133737664e-82,tRG,GLI3,GLI3
2.5425982241053e-83,2.46599902572988,0.55,0.062,1.44582305415524e-78,tRG,CRYAB,CRYAB
1.39924659680434e-74,1.12472546876995,0.73,0.12,7.95667584806819e-70,tRG,TAGLN2,TAGLN2
3.15091163670834e-73,1.35273761873135,0.75,0.132,1.79173439309783e-68,tRG,SAMD4A,SAMD4A
3.08511601430743e-72,1.46620756877396,0.8,0.159,1.75432037037578e-67,tRG,LIPG,LIPG
2.24411552859543e-70,1.62130693446782,0.93,0.239,1.27609385418051e-65,tRG,CLU,CLU
3.76447450531996e-67,1.96318926516215,0.74,0.148,2.14063078270514e-62,tRG,FBXO32,FBXO32
1.29741434853913e-64,1.00007045172106,0.68,0.12,7.37761695153292e-60,tRG,ST5,ST5
3.60364991372716e-62,1.50848235212248,0.95,0.284,2.04917948694181e-57,tRG,CREB5,CREB5
8.22467083943057e-62,1.10386494659073,0.94,0.253,4.6768768261338e-57,tRG,ZFP36L1,ZFP36L1
6.27560372049001e-61,1.29543559606001,0.64,0.112,3.56855929961944e-56,tRG,LRP4,LRP4
4.86129461841557e-59,1.40608095439278,0.96,0.298,2.76432657181583e-54,tRG,SLC1A3,SLC1A3
1.70321175549449e-57,1.18055498504328,0.94,0.291,9.68514332644386e-53,tRG,VIM,VIM
2.03804422448556e-56,1.096002466808,0.76,0.166,1.15891346781147e-51,tRG,ATP1A2,ATP1A2
2.4136046414211e-55,1.30586685700991,0.92,0.286,1.3724721432977e-50,tRG,COL11A1,COL11A1
1.1077840047108e-54,1.3547747935845,0.94,0.3,6.2993029643875e-50,tRG,PAX6,PAX6
3.04811421127823e-52,1.22605761675829,0.83,0.218,1.73327966510125e-47,tRG,TMEM132B,TMEM132B
3.5066528444396e-52,1.28137601421784,0.84,0.224,1.99402307346213e-47,tRG,PSAT1,PSAT1
1.70182917980341e-51,1.37416092973183,0.94,0.326,9.67728144803414e-47,tRG,SFRP1,SFRP1
7.80157560331197e-50,1.10208042423898,0.84,0.227,4.43628795106732e-45,tRG,DOK5,DOK5
4.00655362588424e-49,1.46559252573428,0.92,0.303,2.27828665382282e-44,tRG,DDAH1,DDAH1
4.84183283716942e-49,1.84615363690001,0.96,0.505,2.75325982452802e-44,tRG,ITGB8,ITGB8
2.06306319589788e-47,1.16587238378598,0.38,0.049,1.17314025571537e-42,tRG,CTGF,CTGF
9.49267268992996e-46,1.23106299738745,0.88,0.287,5.39791339840177e-41,tRG,PALLD,PALLD
