id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
ESPL1	ESPL1	2.60556E+00	0	Cysteine protease	BrainSpLMD|9700	OMIM|604143
KIF18B	KIF18B	2.58822E+00	0	Unclassified		OMIM|614570
BUB1B	BUB1B	2.42852E+00	0	Serine/threonine kinase	BrainSpLMD|701;Eurexp|euxassay_018755|cortex, ear, hindgut, incisor, lobe, lung, mandible, marginal layer, maxilla, midgut, molar, neural retina, oesophagus, olfactory, orbito-sphenoid, pancreas, rectum, stomach, submandibular gland primordium, testis, thymus primordium, thyroid, trachea, ventricular layer, vertebral axis muscle system, vibrissa, vomeronasal organ, wall	OMIM|602860;COSMIC||rhabdomyosarcoma;HPO|701|Abnormality of vision, Agenesis of corpus callosum, Ambiguous genitalia, Anteverted nares, Ascites, Autosomal recessive inheritance, Bifid scrotum, Brachycephaly, Cataract, Cerebellar hypoplasia, Cerebral hypoplasia, Cleft palate, Combined immunodeficiency, Corneal opacity, Cryptorchidism, Dandy-Walker malformation, Depressed nasal bridge, Epicanthus, Feeding difficulties in infancy, Generalized hypotonia, Generalized myoclonic seizures, Generalized tonic-clonic seizures, Glaucoma, Global developmental delay, Hereditary nonpolyposis colorectal carcinoma, High forehead, Hydrocephalus, Hypertelorism, Hypodysplasia of the corpus callosum, Hypospadias, Increased nuchal translucency, Intellectual disability, Intellectual disability, profound, Intrauterine growth retardation, Leukemia, Long philtrum, Low-set ears, Malar flattening, Microcephaly, Micrognathia, Micropenis, Microphthalmia, Midface retrusion, Muscular dystrophy, Neoplasm of the stomach, Nephroblastoma, Nystagmus, Oligohydramnios, Phenotypic variability, Polyhydramnios, Posteriorly rotated ears, Postnatal growth retardation, Premature chromatid separation, Renal cell carcinoma, Renal cyst, Rhabdomyosarcoma, Severe global developmental delay, Short neck, Short nose, Short stature, Short sternum, Small for gestational age, Transitional cell carcinoma of the bladder, Triangular face, Triangular mouth, Upslanted palpebral fissure, Uterine leiomyosarcoma, Ventriculomegaly, Wide nose
KIF23	KIF23	2.40219E+00	0	Motor protein	BrainSpLMD|9493;Eurexp|euxassay_006188|incisor, lung, mantle layer, marginal layer, olfactory, submandibular gland primordium, thymus primordium, thyroid, ventricular layer	OMIM|605064;HPO|9493|Abnormal cellular phenotype, Abnormal proerythroblast morphology, Anemia, Anisocytosis, Fatigue, Hyperbilirubinemia, Increased mean corpuscular volume, Increased serum iron, Increased total iron binding capacity, Poikilocytosis
ASF1B	ASF1B	2.39045E+00	0	Chaperone	BrainSpLMD|55723;Eurexp|euxassay_001590|basisphenoid bone, exoccipital bone, lobe, marginal layer, neural retina, orbito-sphenoid, otic capsule, submandibular gland primordium, temporal bone, thymus primordium, ventricular layer, vibrissa	OMIM|609190
E2F8	E2F8	2.38265E+00	0	Transcription factor	BrainSpLMD|79733;BrainSpMouseDev|73120	OMIM|612047
TACC3	TACC3	2.37575E+00	0	Cell cycle control protein	BrainSpLMD|10460;Eurexp|euxassay_003324|marginal layer, nucleus pulposus, optic chiasma, optic stalk, submandibular gland primordium, ventral grey horn, ventricular layer	OMIM|605303
LINC00669	LINC00669	2.36173E+00	0			
KIF15	KIF15	2.30560E+00	0	Cell cycle control protein	BrainSpLMD|56992	OMIM|617569
AURKA	AURKA	2.29271E+00	0	Serine/threonine kinase	BrainSpLMD|6790;Eurexp|euxassay_018753|orbito-sphenoid, submandibular gland primordium, thymus primordium, ventricular layer	OMIM|603072
ECT2	ECT2	2.29177E+00	0	Guanine nucleotide exchange factor	BrainSpLMD|1894;Eurexp|euxassay_018792|marginal layer, ventricular layer	OMIM|600586
CDK1	CDK1	2.28448E+00	0	Serine/threonine kinase	BrainSpLMD|983	OMIM|116940
KIF4A	KIF4A	2.25209E+00	0	DNA binding protein	BrainSpLMD|24137;Eurexp|euxassay_017959|Meckel's cartilage, chondrocranium, incisor, nasal capsule	OMIM|300521;HPO|24137|Abnormal facial shape, Intellectual disability, Poor speech, Seizures, X-linked recessive inheritance
CDC25C	CDC25C	2.24051E+00	0	Dual specificity phosphatase	BrainSpLMD|995	OMIM|157680
NDC80	NDC80	2.23510E+00	0	Cell cycle control protein	BrainSpLMD|10403;Eurexp|euxassay_006923|embryo	OMIM|607272
IQGAP3	IQGAP3	2.21955E+00	0	GTPase activating protein	BrainSpLMD|128239	SFARI||Autism, 4 - Minimal evidence
