id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
ACTN1	ACTN1	3.29362E+00	1.04E-05	Cytoskeletal associated protein;Structural protein	BrainSpLMD|87	OMIM|102575;HPO|87|Anisocytosis, Autosomal dominant inheritance, Increased mean platelet volume, Thrombocytopenia
CCDC175	CCDC175	3.27092E+00	0			
LIPG	LIPG	2.72919E+00	0	Enzyme: Lipase	BrainSpLMD|9388;Eurexp|euxassay_018714|4th ventricle, incisor, larynx, lung, metanephros, midgut, molar, naris, nasal septum, olfactory, rectum, respiratory, submandibular gland primordium, thymus primordium, thyroid, ventricular layer, vibrissa	OMIM|603684
TKTL1	TKTL1	2.60189E+00	2.22E-16	Enzyme: Transketolase	BrainSpLMD|8277	OMIM|300044
MOXD1	MOXD1	2.50403E+00	0	Enzyme: Oxygenase	BrainSpLMD|26002	OMIM|609000
EEPD1	EEPD1	2.42833E+00	0	DNA binding protein	BrainSpLMD|80820;Eurexp|euxassay_002552|dorsal root ganglion, facial VII, orbito-sphenoid, trigeminal V	OMIM|617192
COL4A5	COL4A5	2.42075E+00	0	Extracellular matrix protein	BrainSpLMD|1287;Eurexp|euxassay_015894|bladder, ductus deferens, floorplate, lens, lung, meninges, stomach, sublingual gland primordium, submandibular gland primordium, thyroid, umbilical artery, umbilical vein, urethra, ventricular layer;BrainSpMouseDev|12613	OMIM|303630;HPO|1287|Anterior lenticonus, Congenital cataract, Corneal erosion, Diffuse glomerular basement membrane lamellation, Diffuse leiomyomatosis, Heterogeneous, Hypertension, Hypoparathyroidism, Ichthyosis, Microscopic hematuria, Myopia, Nephritis, Nephrotic syndrome, Progressive, Proteinuria, Sensorineural hearing impairment, Stage 5 chronic kidney disease, Thickening of the glomerular basement membrane, Thrombocytopenia, X-linked dominant inheritance
SLCO1C1	SLCO1C1	2.40475E+00	0	Membrane transport protein	BrainSpLMD|53919;Eurexp|euxassay_007061|4th ventricle, choroid plexus, forebrain, hindbrain, meninges, midbrain, spinal cord, ventricular layer	OMIM|613389
GPX3	GPX3	2.38135E+00	0	Enzyme: Peroxidase	BrainSpLMD|2878;Eurexp|euxassay_003296|foregut-midgut junction, hindgut, incisor, left atrium, midgut, right atrium, stomach;BrainSpMouseDev|14554	OMIM|138321
FGFBP3	FGFBP3	2.36292E+00	0	Unclassified	BrainSpLMD|143282;Eurexp|euxassay_000173|basal columns, basal plate, corpus striatum, floor plate, floorplate, mantle layer, metencephalon, spinal cord, ventral grey horn, ventricular layer	SFARI||Autism, 5 - Hypothesized but untested
