id,symbol,avg_diff|float,p_val|float,_hprdClass,_expr,_geneLists,gene.firstpart,gene.secondpart,identifier,UCSC_converted
ACTN1,ACTN1,3.29362,1.04e-05,Cytoskeletal associated protein;Structural protein,BrainSpLMD|87,"OMIM|102575;HPO|87|Anisocytosis, Autosomal dominant inheritance, Increased mean platelet volume, Thrombocytopenia",ACTN1,,,ACTN1
CCDC175,CCDC175,3.27092,0,"","","",CCDC175,,,CCDC175
LIPG,LIPG,2.72919,0,Enzyme: Lipase,"BrainSpLMD|9388;Eurexp|euxassay_018714|4th ventricle, incisor, larynx, lung, metanephros, midgut, molar, naris, nasal septum, olfactory, rectum, respiratory, submandibular gland primordium, thymus primordium, thyroid, ventricular layer, vibrissa",OMIM|603684,LIPG,,,LIPG
TKTL1,TKTL1,2.60189,2.22e-16,Enzyme: Transketolase,BrainSpLMD|8277,OMIM|300044,TKTL1,,,TKTL1
MOXD1,MOXD1,2.50403,0,Enzyme: Oxygenase,BrainSpLMD|26002,OMIM|609000,MOXD1,,,MOXD1
EEPD1,EEPD1,2.42833,0,DNA binding protein,"BrainSpLMD|80820;Eurexp|euxassay_002552|dorsal root ganglion, facial VII, orbito-sphenoid, trigeminal V",OMIM|617192,EEPD1,,,EEPD1
COL4A5,COL4A5,2.42075,0,Extracellular matrix protein,"BrainSpLMD|1287;Eurexp|euxassay_015894|bladder, ductus deferens, floorplate, lens, lung, meninges, stomach, sublingual gland primordium, submandibular gland primordium, thyroid, umbilical artery, umbilical vein, urethra, ventricular layer;BrainSpMouseDev|12613","OMIM|303630;HPO|1287|Anterior lenticonus, Congenital cataract, Corneal erosion, Diffuse glomerular basement membrane lamellation, Diffuse leiomyomatosis, Heterogeneous, Hypertension, Hypoparathyroidism, Ichthyosis, Microscopic hematuria, Myopia, Nephritis, Nephrotic syndrome, Progressive, Proteinuria, Sensorineural hearing impairment, Stage 5 chronic kidney disease, Thickening of the glomerular basement membrane, Thrombocytopenia, X-linked dominant inheritance",COL4A5,,,COL4A5
SLCO1C1,SLCO1C1,2.40475,0,Membrane transport protein,"BrainSpLMD|53919;Eurexp|euxassay_007061|4th ventricle, choroid plexus, forebrain, hindbrain, meninges, midbrain, spinal cord, ventricular layer",OMIM|613389,SLCO1C1,,,SLCO1C1
GPX3,GPX3,2.38135,0,Enzyme: Peroxidase,"BrainSpLMD|2878;Eurexp|euxassay_003296|foregut-midgut junction, hindgut, incisor, left atrium, midgut, right atrium, stomach;BrainSpMouseDev|14554",OMIM|138321,GPX3,,,GPX3
FGFBP3,FGFBP3,2.36292,0,Unclassified,"BrainSpLMD|143282;Eurexp|euxassay_000173|basal columns, basal plate, corpus striatum, floor plate, floorplate, mantle layer, metencephalon, spinal cord, ventral grey horn, ventricular layer","SFARI||Autism, 5 - Hypothesized but untested",FGFBP3,,,FGFBP3
COL4A6,COL4A6,2.32676,7.77e-16,Extracellular matrix protein,"BrainSpLMD|1288;Eurexp|euxassay_009999|associated mesenchyme, basioccipital bone, clavicle, femur, fibula, humerus, lens, mandible, maxilla, meninges, nasal septum, orbito-sphenoid, otic capsule, petrous part, phalanx, renal/urinary system, rib, submandibular gland primordium, tibia, trunk mesenchyme, turbinate bones, vault of skull","OMIM|303631;HPO|1288|Cochlear malformation, Hearing impairment, X-linked recessive inheritance",COL4A6,,,COL4A6
RP11.76I14.1,RP11.76I14.1,2.32309,0,"","","",RP11,76I14,1,RP11-76I14
LPCAT1,LPCAT1,2.32012,4.4e-10,Enzyme: Acyltransferase,BrainSpLMD|79888,OMIM|610472,LPCAT1,,,LPCAT1
NRG1,NRG1,2.26181,0,Growth factor,"BrainSpLMD|3084;Eurexp|euxassay_007625|dorsal root ganglion, facial VII, glossopharyngeal IX, mantle layer, olfactory, testis, trigeminal V, ventral grey horn, ventricular layer, vestibulocochlear VIII, vomeronasal organ;BrainSpMouseDev|84285","SFARI||Autism, 5 - Hypothesized but untested;OMIM|142445;COSMIC||NSCLC",NRG1,,,NRG1
GFAP,GFAP,2.24329,1.12e-13,Structural protein,BrainSpLMD|2670;BrainSpMouseDev|14356,"OMIM|137780;HPO|2670|Ataxia, Autosomal dominant inheritance, Bulbar signs, Developmental regression, Diffuse demyelination of the cerebral white matter, Hydrocephalus, Increased CSF protein, Infantile onset, Progressive macrocephaly, Seizures, Spasticity",GFAP,,,GFAP
FAM107A,FAM107A,2.20899,0,Unclassified,"BrainSpLMD|11170;Eurexp|euxassay_005179|inner ear, olfactory",OMIM|608295,FAM107A,,,FAM107A
