id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
LIX1	LIX1	2.83463E+00	0	Unclassified	BrainSpLMD|167410	OMIM|610466
RP11.366L20.2	RP11.366L20.2	2.64562E+00	9.74E-11			
CMBL	CMBL	2.57993E+00	6.37E-06	Unclassified	BrainSpLMD|134147;Eurexp|euxassay_007377|medulla, meninges	OMIM|613379
HMGA2	HMGA2	2.57742E+00	0	Transcription factor	BrainSpLMD|8091;Eurexp|euxassay_003865|axial skeleton, cochlea, cortex, fibula, handplate, hindgut, humerus, lung, metanephros, metatarsus, midgut, oesophagus, pancreas, pelvic girdle, phalanx, pituitary, rib, stomach, sublingual gland primordium, thymus primordium, thyroid, tibia, trachea, turbinate bones, ventricular layer;BrainSpMouseDev|15139	OMIM|600698;COSMIC||lipoma, leiomyoma, pleomorphic salivary gland adenoma;HPO|8091|Autosomal dominant inheritance, Delayed speech and language development, Failure to thrive, Global developmental delay, Hyperpigmentation of the skin, Hypertelorism, Intellectual disability, mild, Intrauterine growth retardation, Osteopoikilosis, Short stature, Somatic mutation, Specific learning disability, Subcutaneous nodule, Tremor, Uterine leiomyoma
CDC25C	CDC25C	2.42096E+00	1.21E-07	Dual specificity phosphatase	BrainSpLMD|995	OMIM|157680
AJUBA	AJUBA	2.39673E+00	2.16E-06	Cell cycle control protein	BrainSpLMD|84962	OMIM|609066
ADAMTS9	ADAMTS9	2.31625E+00	1.51E-07	Metallo protease	BrainSpLMD|56999	OMIM|605421
MCAM	MCAM	2.24883E+00	2.07E-08	Adhesion molecule	BrainSpLMD|4162	OMIM|155735
OTX1	OTX1	2.24831E+00	1.66E-05	Transcription factor	BrainSpLMD|5013;Eurexp|euxassay_004727|brain, conjunctival sac, dorsal root ganglion, epithelium, glossopharyngeal IX, incisor, naris, naso-lacrimal duct, neural retina, olfactory, oral epithelium, respiratory, spinal cord, trigeminal V, vestibulocochlear VIII;BrainSpMouseDev|18190	SFARI||Autism, 4 - Minimal evidence;OMIM|600036
ZNF844	ZNF844	2.20843E+00	7.31E-05		BrainSpLMD|284391	
KIAA0101	KIAA0101	2.19550E+00	5.55E-15			
PTTG1	PTTG1	2.17122E+00	2.81E-08	Transcription regulatory protein	BrainSpLMD|9232	OMIM|604147
GLI2	GLI2	2.13293E+00	1.24E-05	Transcription factor	BrainSpLMD|2736;Eurexp|euxassay_008920|marginal layer, ventricular layer;BrainSpMouseDev|14409	OMIM|165230;HPO|2736|Abnormal cortical gyration, Abnormal prolactin level, Abnormality of secondary sexual hair, Agenesis of incisor, Amenorrhea, Anophthalmia, Anterior pituitary agenesis, Anterior pituitary hypoplasia, Aplasia/Hypoplasia of the breasts, Autosomal dominant inheritance, Bilateral cleft lip and palate, Cryptorchidism, Decreased circulating ACTH level, Decreased testicular size, Dental malocclusion, Depressed nasal bridge, Depressed nasal ridge, Ectopic posterior pituitary, Fatigue, Global developmental delay, Growth hormone deficiency, Holoprosencephaly, Hydrocephalus, Hypoglycemia, Hypogonadotrophic hypogonadism, Hypopituitarism, Hypoplasia of the maxilla, Hypoplasia of the premaxilla, Hypotelorism, Hypotension, Incomplete penetrance, Infertility, Macrotia, Malar flattening, Microcephaly, Micropenis, Microphthalmia, Midface retrusion, Optic nerve hypoplasia, Osteopenia, Panhypopituitarism, Partial agenesis of the corpus callosum, Pituitary hypothyroidism, Postaxial hand polydactyly, Prominent antihelix, Seizures, Short hard palate, Short philtrum, Short stature, Single median maxillary incisor, Single naris, Sporadic, Underdeveloped tragus, Variable expressivity
AFMID	AFMID	2.13161E+00	0.001889117	Unclassified		
VEGFA	VEGFA	2.12583E+00	0.000593649	Growth factor	BrainSpLMD|7422;BrainSpMouseDev|22096	OMIM|192240
MND1	MND1	2.09531E+00	4.30E-06	Unclassified	BrainSpLMD|84057	OMIM|611422
CDCA3	CDCA3	2.07516E+00	7.47E-05	Unclassified	BrainSpLMD|83461;Eurexp|euxassay_004852|cortex, left, marginal layer, mesenchyme, olfactory, orbito-sphenoid, right, submandibular gland primordium, thymus primordium, ventral grey horn, ventricular layer	OMIM|607749
FGFR3	FGFR3	2.06153E+00	4.44E-05	Receptor tyrosine kinase;Tyrosine kinase	BrainSpLMD|2261;Eurexp|euxassay_006120|embryo;BrainSpMouseDev|13961	OMIM|134934;COSMIC||bladder, MM, T-cell lymphoma, Hypochondroplasia, Thanatophoric dysplasia;HPO|2261|2-3 finger syndactyly, Abnormal form of the vertebral bodies, Abnormality of femur morphology, Abnormality of lower limb joint, Abnormality of metabolism/homeostasis, Abnormality of pelvic girdle bone morphology, Abnormality of the antihelix, Abnormality of the cervical spine, Abnormality of the clavicle, Abnormality of the elbow, Abnormality of the metacarpal bones, Abnormality of the metaphysis, Abnormality of the ribs, Absence of Stensen duct, Absent lacrimal punctum, Absent proximal phalanx of thumb, Absent radius, Acanthosis nigricans, Alacrima, Anteverted nares, Aplasia of the parotid gland, Aplasia/Hypoplasia of the cerebellum, Aplasia/Hypoplasia of the lungs, Aplasia/Hypoplasia of the mandible, Aplasia/hypoplasia of the extremities, Arachnodactyly, Arnold-Chiari malformation, Autosomal dominant inheritance, Autosomal recessive inheritance, Bilateral single transverse palmar creases, Bilateral triphalangeal thumbs, Blepharospasm, Bowing of the long bones, Brachycephaly, Brachydactyly, Brain atrophy, Brain stem compression, Broad femoral metaphyses, Broad forehead, Broad hallux, Camptodactyly of finger, Camptodactyly of toe, Capitate-hamate fusion, Carious teeth, Carpal synostosis, Central apnea, Childhood onset short-limb short stature, Choanal atresia, Chronic otitis media, Clinodactyly, Clinodactyly of the 5th finger, Cloverleaf skull, Cognitive impairment, Conductive hearing impairment, Cone-shaped epiphyses of the phalanges of the hand, Cone-shaped epiphysis, Conical incisor, Convex nasal ridge, Corneal perforation, Coronal craniosynostosis, Coronal hypospadias, Craniosynostosis, Cryptorchidism, Cupped ear, Dacryocystitis, Decreased fetal movement, Delayed cranial suture closure, Delayed eruption of primary teeth, Dental crowding, Dental malocclusion, Depressed nasal bridge, Diaphyseal thickening, Downslanted palpebral fissures, Enlarged cerebellum, Excessive wrinkled skin, External ear malformation, Facial asymmetry, Femoral bowing, Fibular bowing, Finger syndactyly, Flared metaphysis, Flat face, Frontal bossing, Generalized joint laxity, Generalized seizures, Genu varum, Global developmental delay, Gonadal dysgenesis, Hearing impairment, Hereditary nonpolyposis colorectal carcinoma, Heterotopia, High forehead, High palate, High, narrow palate, Hydrocephalus, Hyperextensible skin, Hyperhidrosis, Hyperlordosis, Hypertelorism, Hypodontia, Hypoplasia of dental enamel, Hypoplasia of the corpus callosum, Hypoplasia of the lacrimal puncta, Hypoplasia of the maxilla, Hypoplasia of the radius, Hypoplasia of the ulna, Hypoplastic ilia, Hypoplastic lacrimal duct, Increased intracranial pressure, Increased nuchal translucency, Increased vertebral height, Infantile muscular hypotonia, Inflammatory abnormality of the eye, Intellectual disability, Intellectual disability, profound, Intellectual disability, severe, Intrauterine growth retardation, Joint contracture of the hand, Joint hyperflexibility, Kyphosis, Lacrimal gland aplasia, Lacrimal gland hypoplasia, Lethal short-limbed short stature, Limited elbow extension, Limited hip extension, Long thorax, Low anterior hairline, Lumbar hyperlordosis, Lumbar kyphosis in infancy, Macrocephaly, Malar flattening, Megalencephaly, Melanocytic nevus, Mesomelia, Metaphyseal chondrodysplasia, Metaphyseal irregularity, Microcephaly, Micromelia, Microtia, Midface retrusion, Mixed hearing impairment, Motor delay, Muscular hypotonia, Narrow chest, Narrow internal auditory canal, Narrow palate, Narrow sacroiliac notch, Nasolacrimal duct obstruction, Neonatal death, Neonatal short-limb short stature, Neoplasm, Neoplasm of the stomach, Nephrosclerosis, Numerous nevi, Obesity, Obstructive sleep apnea, Open bite, Osteochondroma, Otitis media, Partial duplication of thumb phalanx, Pectus excavatum, Periorbital fullness, Plagiocephaly, Platyspondyly, Polyhydramnios, Preaxial polydactyly, Prominent crus of helix, Prominent nasal bridge, Proptosis, Ptosis, Radial deviation of finger, Radial deviation of the 3rd finger, Recurrent corneal erosions, Recurrent otitis media, Redundant skin, Renal agenesis, Renal cell carcinoma, Respiratory insufficiency, Rhizomelia, Scoliosis, Seizures, Sensorineural hearing impairment, Severe global developmental delay, Severe platyspondyly, Severe short stature, Short femoral neck, Short femur, Short foot, Short long bone, Short middle phalanx of finger, Short middle phalanx of toe, Short palm, Short ribs, Short sacroiliac notch, Short stature, Short thorax, Short toe, Skeletal dysplasia, Sleep apnea, Small abnormally formed scapulae, Small face, Small foramen magnum, Small thenar eminence, Somatic mutation, Spinal stenosis with reduced interpedicular distance, Split hand, Sporadic, Strabismus, Tall stature, Tarsal synostosis, Telecanthus, Teratoma, Thimble-shaped middle phalanges of hand, Tibial bowing, Transitional cell carcinoma of the bladder, Trident hand, Turricephaly, Underdeveloped supraorbital ridges, Upper airway obstruction, Uterine leiomyosarcoma, Ventriculomegaly, Visual field defect, Wide anterior fontanel, Wide-cupped costochondral junctions, Wormian bones, Xerostomia
HEY1	HEY1	2.00353E+00	6.14E-05	Transcription factor	BrainSpLMD|23462;Eurexp|euxassay_005307|calyces, mandible, maxilla, olfactory, orbito-sphenoid, pituitary, respiratory, thymus primordium, ventricular layer;BrainSpMouseDev|14989	OMIM|602953;COSMIC||mesenchymal chondrosarcoma
SERTAD4	SERTAD4	1.99401E+00	1.10E-06	Unclassified	BrainSpLMD|56256	
MFAP2	MFAP2	1.97273E+00	2.65E-07	Extracellular matrix protein	BrainSpLMD|4237;Eurexp|euxassay_002967|skeleton	OMIM|156790
ZNF217	ZNF217	1.97024E+00	0.000688076	Transcription factor	BrainSpLMD|7764	OMIM|602967
HIST1H1C	HIST1H1C	1.97018E+00	2.22E-16	DNA binding protein	BrainSpLMD|3006;Eurexp|euxassay_015954|ventricular layer	OMIM|142710
CKS2	CKS2	1.96631E+00	0	Cell cycle control protein	BrainSpLMD|1164	OMIM|116901
LEF1	LEF1	1.93637E+00	2.05E-10	Transcription factor	BrainSpLMD|51176;BrainSpMouseDev|16613	OMIM|153245;COSMIC||B-ALL, T-ALL, eyelid sebaceous carcinoma, AML, lymphomas
TSPAN6	TSPAN6	1.92246E+00	0.000100686	Cell surface receptor	BrainSpLMD|7105;Eurexp|euxassay_004870|incisor, mandible, maxilla, molar	OMIM|300191
POLR2L	POLR2L	1.91278E+00	0.003523461	RNA polymerase	BrainSpLMD|5441;Eurexp|euxassay_019574|dorsal root ganglion, facial VII, glossopharyngeal IX, incisor, liver, lung, midgut, nucleus pulposus, oesophagus, pancreas, stomach, submandibular gland primordium, testis, trigeminal V, vagus X, vestibulocochlear VIII, vibrissa	OMIM|601189
HIST1H2BK	HIST1H2BK	1.89737E+00	1.25E-08	DNA binding protein	BrainSpLMD|85236	OMIM|615045
TYMS	TYMS	1.88491E+00	0.000305673	Enzyme: Ligase	BrainSpLMD|7298;Eurexp|euxassay_008886|cardiovascular system, cavities and their linings, gland, integumental system, limb, marginal layer, mesenchyme, sensory organ, tail, ventricular layer, vertebral axis muscle system, visceral organ	OMIM|188350
TCF7L1	TCF7L1	1.87919E+00	8.82E-06	Transcription regulatory protein	BrainSpLMD|83439;BrainSpMouseDev|21176	OMIM|604652
DARS	DARS	1.87455E+00	0.000142071	ATPase	BrainSpLMD|1615	OMIM|603084;HPO|1615|Autosomal recessive inheritance, Babinski sign, CNS hypomyelination, Hyperreflexia, Hypoplasia of the corpus callosum, Infantile onset, Leukoencephalopathy, Motor delay, Muscular hypotonia of the trunk, Nystagmus, Progressive, Spasticity
RP11.529H22.1	RP11.529H22.1	1.86261E+00	6.42E-06			
VIM	VIM	1.85236E+00	0	Cytoskeletal protein	BrainSpLMD|7431	OMIM|193060;HPO|7431|Autosomal dominant inheritance, Congenital onset, Diffuse nuclear cataract, Posterior polar cataract, Pulverulent cataract
UBE2C	UBE2C	1.85030E+00	5.18E-07	Ubiquitin proteasome system protein	BrainSpLMD|11065	OMIM|605574
PRC1	PRC1	1.82859E+00	3.45E-08	Cell cycle control protein	BrainSpLMD|9055	OMIM|603484
GMNN	GMNN	1.79638E+00	0.002180803	Cell cycle control protein	BrainSpLMD|51053;Eurexp|euxassay_013652|cortex, incisor, lobe, lung, molar, pancreas, submandibular gland primordium, testis, thymus primordium, thyroid, ventricular layer, vibrissa	OMIM|602842;HPO|51053|Abnormality of epiphysis morphology, Abnormality of the ribs, Anotia, Aplastic clavicles, Atresia of the external auditory canal, Autosomal dominant inheritance, Camptodactyly of finger, Clinodactyly of the 5th finger, Clitoral hypertrophy, Clitoral hypoplasia, Conductive hearing impairment, Craniosynostosis, Cryptorchidism, Delayed puberty, Delayed skeletal maturation, Depressed nasal ridge, Failure to thrive, Feeding difficulties, Growth hormone deficiency, High, narrow palate, Hip dysplasia, Hypoplasia of the maxilla, Hypoplastic labia majora, Hypoplastic labia minora, Intrauterine growth retardation, Joint hyperflexibility, Low-set ears, Mandibular aplasia, Microcephaly, Micrognathia, Microtia, third degree, Narrow mouth, Patellar aplasia, Posteriorly rotated ears, Recurrent respiratory infections, Respiratory distress, Respiratory failure, Retrognathia, Severe short stature, Short middle phalanx of finger, Slender long bone, Stenosis of the external auditory canal, Umbilical hernia
TRIAP1	TRIAP1	1.78580E+00	0.000270107	Protease inhibitor	BrainSpLMD|51499	OMIM|614943
EIF1AD	EIF1AD	1.78532E+00	3.82E-08	Unclassified	BrainSpLMD|84285	
TTK	TTK	1.78257E+00	1.43E-05	Dual specificity kinase	BrainSpLMD|7272	OMIM|604092
CENPW	CENPW	1.77571E+00	1.33E-07	Unclassified	Eurexp|euxassay_006383|roof plate, telencephalic part of interventricular foramen, thalamus	OMIM|611264
RPL41P1	RPL41P1	1.77501E+00	0			
NSUN4	NSUN4	1.76931E+00	0.007638198	Unclassified	BrainSpLMD|387338	OMIM|615394
RPL10AP6	RPL10AP6	1.76760E+00	3.15E-07			
HMGB2	HMGB2	1.76466E+00	1.33E-15	Transcription regulatory protein	BrainSpLMD|3148;Eurexp|euxassay_019251|incisor, lobe, lung, marginal layer, metanephros, molar, neural retina, oesophagus, pancreas, pituitary, submandibular gland primordium, thymus primordium, thyroid, trachea, turbinate bones, valve, ventricle, ventricular layer, vertebral axis muscle system	OMIM|163906
CCDC25	CCDC25	1.76463E+00	0.001081126	Unclassified	BrainSpLMD|55246	
CASP3	CASP3	1.76344E+00	0.000472943	Cysteine protease	BrainSpLMD|836;Eurexp|euxassay_018739|mantle layer, olfactory, vomeronasal organ;BrainSpMouseDev|12152	OMIM|600636
FAM64A	FAM64A	1.76333E+00	1.87E-07			
HSPE1	HSPE1	1.75677E+00	1.11E-16	Heat shock protein	BrainSpLMD|3336	OMIM|600141
RRM2	RRM2	1.74847E+00	1.94E-06	Cell cycle control protein	BrainSpLMD|6241;Eurexp|euxassay_004733|footplate, handplate, hindbrain, leg, liver, lung, mantle layer, mesenchyme, metanephros, olfactory, retina, spinal cord, tail, ventricular layer, vibrissa	OMIM|180390
FAM162A	FAM162A	1.73915E+00	0.004974923	Unclassified	BrainSpLMD|26355	OMIM|608017
CENPE	CENPE	1.73210E+00	3.10E-09	DNA binding protein	BrainSpLMD|1062	OMIM|117143;HPO|1062|Abnormality of dental enamel, Absent earlobe, Autosomal recessive inheritance, Cachexia, Cerebellar hypoplasia, Clinodactyly of the 5th finger, Cognitive impairment, Cone-shaped epiphysis, Convex nasal ridge, Cortical gyral simplification, Craniosynostosis, Delayed skeletal maturation, Downslanted palpebral fissures, Glaucoma, Hip dysplasia, Intellectual disability, Intrauterine growth retardation, Joint hyperflexibility, Metaphyseal sclerosis, Microcephaly, Micrognathia, Mild global developmental delay, Narrow face, Partial agenesis of the corpus callosum, Prematurely aged appearance, Prominent nose, Reduced number of teeth, Round face, Sandal gap, Seizures, Short foot, Short stature, Sloping forehead, Small hand, Sparse scalp hair
MASP1	MASP1	1.72632E+00	4.99E-05	Serine protease	BrainSpLMD|5648	OMIM|600521;HPO|5648|Abnormality of eye movement, Abnormality of the anterior chamber, Atrial septal defect, Autosomal recessive inheritance, Bilateral cryptorchidism, Blepharophimosis, Broad foot, Caudal appendage, Cleft palate, Cleft upper lip, Clinodactyly of the 5th finger, Conductive hearing impairment, Conjunctival telangiectasia, Coronal craniosynostosis, Craniosynostosis, Dental crowding, Diastasis recti, Downslanted palpebral fissures, Downturned corners of mouth, Epicanthus inversus, Glaucoma, Growth delay, Hearing impairment, Highly arched eyebrow, Hydronephrosis, Hyperlordosis, Hypertelorism, Intellectual disability, Intellectual disability, mild, Lambdoidal craniosynostosis, Large fleshy ears, Limited pronation/supination of forearm, Microcephaly, Omphalocele, Oral cleft, Patent ductus arteriosus, Postnatal growth retardation, Ptosis, Radioulnar synostosis, Sacral dimple, Scoliosis, Short 5th finger, Short foot, Single interphalangeal crease of fifth finger, Skull asymmetry, Spina bifida occulta, Supernumerary nipple, Telecanthus, Underdeveloped supraorbital ridges, Ventricular septal defect, Wide anterior fontanel
TAF9	TAF9	1.71328E+00	0.000702139	Transcription regulatory protein	BrainSpLMD|6880;Eurexp|euxassay_002090|thymus primordium;BrainSpMouseDev|72303	OMIM|600822
CKS1B	CKS1B	1.71025E+00	8.97E-06	Cell cycle control protein		OMIM|116900
ST7.OT4	ST7.OT4	1.70286E+00	0.000149325			
HIST1H1E	HIST1H1E	1.69989E+00	9.39E-12	DNA binding protein	BrainSpLMD|3008;Eurexp|euxassay_005923|embryo	OMIM|142220;HPO|3008|Accelerated skeletal maturation, Amblyopia, Astigmatism, Autosomal dominant inheritance, Camptodactyly, Full cheeks, Global developmental delay, Hypertonia, Intellectual disability, Kyphoscoliosis, Macrocephaly, Neonatal hypotonia, Nevus, Strabismus, Talipes equinovarus, Telecanthus
NCAPG	NCAPG	1.68031E+00	0.000779468	DNA binding protein	BrainSpLMD|64151;Eurexp|euxassay_013748|epithelium, incisor, left lung, liver, metanephros, molar, olfactory, right lung, submandibular gland primordium, thymus primordium, ventricular layer, vibrissa, vomeronasal organ	OMIM|606280
MDM1	MDM1	1.67716E+00	0.002489825	Unclassified	BrainSpLMD|56890	OMIM|613813
TFAP2C	TFAP2C	1.67439E+00	6.66E-16	Transcription factor	BrainSpLMD|7022;BrainSpMouseDev|21181	OMIM|601602
CDKN3	CDKN3	1.67031E+00	1.86E-05	Dual specificity phosphatase	BrainSpLMD|1033;Eurexp|euxassay_014422|axial skeleton, basioccipital bone, basisphenoid bone, exoccipital bone, femur, fibula, orbito-sphenoid, pelvic girdle, temporal bone, tibia, turbinate, vault of skull	OMIM|123832
RPL41P5	RPL41P5	1.66986E+00	7.41E-14			
NFYB	NFYB	1.66923E+00	2.80E-06	Transcription factor	BrainSpLMD|4801;BrainSpMouseDev|17812	OMIM|189904
CTD.2031P19.4	CTD.2031P19.4	1.66346E+00	0			
TNFRSF19	TNFRSF19	1.65428E+00	0.000536216	Cell surface receptor	BrainSpLMD|55504;Eurexp|euxassay_000124|associated mesenchyme, cartilage condensation, cerebral cortex, epithelium, facial bones primordia, frontal bone primordium, heart, incisor, lung, main bronchus, mandible, maxilla, mesenchyme, optic foramen, palatal shelf, perioptic mesenchyme, premaxilla, primary palate, skeletal muscle, skeleton, spleen primordium, submandibular gland primordium, vibrissa	OMIM|606122
EEF1D	EEF1D	1.64062E+00	8.84E-08	Guanine nucleotide exchange factor	BrainSpLMD|1936	OMIM|130592
ZIC5	ZIC5	1.63919E+00	2.13E-05	DNA binding protein	BrainSpLMD|85416;BrainSpMouseDev|41618	
